,tweet_id,name,type,rating_numerator,rating_denominator,rating
688,787810552592695296,Frank,None,11,10,1.1
689,787717603741622272,Tonks,puppo,13,10,1.3
690,787397959788929025,Moose,None,11,10,1.1
691,787322443945877504,Lincoln,None,10,10,1.0
693,786963064373534720,Rory,None,12,10,1.2
696,786664955043049472,None,None,12,10,1.2
697,786595970293370880,Dale,None,11,10,1.1
698,786363235746385920,Rizzo,doggo,13,10,1.3
699,786286427768250368,Arnie,None,12,10,1.2
700,786233965241827333,Mattie,None,11,10,1.1
701,786051337297522688,None,puppo,13,10,1.3
703,785927819176054784,Lucy,None,12,10,1.2
704,785872687017132033,Rusty,None,12,10,1.2
705,785639753186217984,Pinot,pupper,10,10,1.0
706,785533386513321988,Dallas,None,11,10,1.1
707,785515384317313025,None,None,10,10,1.0
708,785264754247995392,Doc,None,12,10,1.2
709,785170936622350336,Hero,None,11,10,1.1
710,784826020293709826,Rusty,None,13,10,1.3
711,784517518371221505,Frankie,None,11,10,1.1
712,784431430411685888,Stormy,None,12,10,1.2
713,784183165795655680,Reginald,puppo,12,10,1.2
714,784057939640352768,Balto,None,12,10,1.2
715,783839966405230592,Riley,None,13,10,1.3
716,783821107061198850,Mairi,None,12,10,1.2
717,783695101801398276,Loomis,None,12,10,1.2
718,783466772167098368,Finn,None,11,10,1.1
719,783391753726550016,Godi,None,13,10,1.3
721,783334639985389568,Dave,None,12,10,1.2
722,783085703974514689,Earl,None,11,10,1.1
723,782969140009107456,Cali,None,12,10,1.2
724,782747134529531904,Deacon,doggo,11,10,1.1
725,782722598790725632,Penny,None,10,10,1.0
726,782598640137187329,Timmy,None,11,10,1.1
727,782305867769217024,Sampson,doggo,12,10,1.2
729,781955203444699136,Chipson,None,11,10,1.1
730,781661882474196992,None,None,5,10,0.5
731,781655249211752448,Combo,doggo,11,10,1.1
732,781524693396357120,None,None,12,10,1.2
733,781308096455073793,None,pupper,12,10,1.2
734,781251288990355457,Oakley,None,11,10,1.1
735,781163403222056960,None,None,10,10,1.0
736,780931614150983680,None,puppo,13,10,1.3
737,780858289093574656,Dash,None,10,10,1.0
